,Shoes_Description,Shoes_brand,Shoes_Prices
210,Sports shoes for men|Stylish Casual sport shoes for men...,Airson,₹599
211,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,743"
212,HURRICANE Running Shoes For Men,CAMPUS,₹799
213,STONIC Running Shoes For Men,CAMPUS,"₹1,199"
214,Running Shoes For Men,RED TAPE,"₹1,359"
215,Tread Run Sneakers For Men,PUMA,"₹2,048"
216,Men's Fighter 555 Boots For Men,BIG FOX,₹899
217,XC72 Sneakers For Men,New Balance,"₹7,799"
218,Zod Runner V3 Sneakers For Men,PUMA,"₹1,199"
219,CLUB CULTURE High Tops For Men,HRX by Hrithik Roshan,"₹1,011"
220,Junior Zero1 Sports shoes for Men | Gym Training Walkin...,Airson,"₹1,279"
221,Sneakers For Men,ATOM,"₹1,289"
222,SM-648 Running Shoes For Men,Sparx,₹885
223,CAD Running Shoes For Men,CAMPUS,₹949
224,CAMP-GLACIER Running Shoes For Men,CAMPUS,"₹1,189"
225,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
226,Vegas High Tops For Men,PUMA,"₹2,699"
227,"Stylish Comfortable Lightweight, Breathable Socks Sport...",RGY,₹599
228,ALEXA Running Shoes For Women,CAMPUS,"₹1,044"
229,Casuals For Women,Bata,₹619
230,High Ankle Riding Boots for Hiking & Trekking | Mild Wa...,Unistar,₹999
231,High Ankle Riding Boots for Hiking & Trekking | Mild Wa...,Unistar,"₹1,249"
232,Casuals For Men,WOODLAND,"₹2,739"
233,VELOCITY Running Shoes For Men,HRX by Hrithik Roshan,"₹1,016"
234,"Oxygen-05 White Sports Running,Walking,Gym Shoes With P...",asian,"₹1,099"
235,"Jogging, Walking & Running (Narrow Toe) Shoes; 602_Camo...",Unistar,₹499
236,"KICK-2 AEROFOAM HYPERBOUNZE FAST Trenddy, lightweight, ...",JQR,"₹1,249"
237,Fire run Running Shoes For Men,PUMA,"₹1,219"
238,"Nexon-13 Navy Sports,Walking,Training,Gym,Stylish, Runn...",asian,₹699
239,Jauntza M Running Shoes For Men,ADIDAS,"₹1,479"
240,"ZOOM Sports shoes, Running, Walking, Lightweight, Gym, ...",JQR,₹999
241,Sneakers For Men,ATOM,"₹1,289"
242,"Sneaker Casual Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,119"
243,PATRIK PRO Running Shoes For Men,CAMPUS,₹872
244,"Bersache Sports Shoes For Men|White For Running,Walking...",BERSACHE,₹649
245,FK- MXO Dailywear Slip On Sneakers For Men,Free Kicks,₹319
246,BCK8020 Lightweight Comfort Summer Trendy Premium Styli...,Bucik,₹629
247,Boots For Men,Layasa,₹499
248,"Bersache Sports Shoes For Men|Light Grey For Running,Wa...",BERSACHE,"₹1,499"
249,0224 lestest Formal shoes/Comfortable shoes black/Styli...,Bonsar,₹394
250,Sports shoes for men|Stylish Casual sport shoes for men...,Airson,₹599
251,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,743"
252,TRACK - MOULTON Running Shoes For Men,Skechers,"₹3,049"
253,OXYFIT PRO Running Shoes For Men,CAMPUS,₹849
254,Andres Lace Up For Men,Bata,₹659
255,Century-12 Running shoes for boys | sports shoes for me...,asian,₹599
256,Sports Running Shoes for men | Gym Training Walking Tre...,Airson,₹879
257,Boots For Men,Layasa,₹499
258,Stride Runner M Running Shoes For Men,REEBOK,"₹1,047"
259,HRX-001 04 Running Shoes For Men,HRX by Hrithik Roshan,₹959
260,Men's Fighter 555 Boots For Men,BIG FOX,₹899
261,XC72 Sneakers For Men,New Balance,"₹7,799"
262,Walking Shoes For Men,RED TAPE,"₹1,059"
263,High Ankle Riding Boots for Hiking & Trekking | Mild Wa...,Unistar,₹579
264,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹394
265,"Delta-20 Black Sports,Casual,Gym, Walking Shoes For Men",asian,₹869
266,Junior Zero1 Sports shoes for Men | Gym Training Walkin...,Airson,"₹1,279"
267,Sneakers For Men,ATOM,"₹1,289"
268,Fair weather 2.0 M Running Shoes For Men,REEBOK,"₹1,992"
269,Ivana Wn's Sneakers For Women,PUMA,"₹1,809"
270,Vegas High Tops For Men,PUMA,"₹2,699"
271,"Stylish Comfortable Lightweight, Breathable Socks Sport...",RGY,₹599
272,Running Shoes For Men,Sparx,"₹1,186"
273,Sneakers For Men,U.S. POLO ASSN.,"₹1,629"
274,OXYFIT (N) Running Shoes For Men,CAMPUS,₹599
275,"VISIT Sports shoes, Running, Walking, Lightweight, Gym,...",JQR,₹979
276,High Ankle Riding Boots for Hiking & Trekking | Mild Wa...,Unistar,₹999
277,High Ankle Riding Boots for Hiking & Trekking | Mild Wa...,Unistar,"₹1,249"
278,Crystal-13 Black sky Sports Transparent Sole Technology...,asian,"₹1,399"
279,Fire run Walking Shoes For Men,PUMA,"₹1,219"
280,Lite Sports Shoes Running Shoes For Men,BRUTON,₹549
281,Trendy & Affordable Collection Of Stylish For Men,STALAG,₹559
282,BARLEY Running Shoes For Men,CAMPUS,₹849
283,Sneakers For Men,Fuoatieec,₹374
284,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,"₹1,299"
285,Superfit laceless sports shoes for men | Latest Stylish...,asian,₹749
286,Boots For Men,Layasa,₹499
287,New Trendy Comfort Exclusive Daily Upgrade Your style G...,SEEVAE,₹699
288,NOOR PLUS Running Shoes For Women,CAMPUS,₹799
289,OXYFIT PRO Running Shoes For Men,CAMPUS,₹849
290,Stylish High Tops For Men,lejano,₹585
291,GROOVY Mid-Top Casual Chunky Streetwear Fashion Sneaker...,Kraasa,₹599
