,Shoes_Description,Shoes_brand,Shoes_Prices
136,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
137,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
138,HURRICANE Running Shoes For Men,CAMPUS,₹749
139,Lace Up For Men,INVICTUS,"₹1,219"
140,"Bersache Sports Shoes For Men|Light Grey For Running,Wa...",BERSACHE,"₹1,109"
141,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
142,Zod Runner V3 Sneakers For Men,PUMA,"₹1,199"
143,"Action Athleo ATG-424 Light Weight,Comfortable,Trendy,R...",action,₹629
144,"Delta-20 Slateblue Sports,Casual,Walking,Gym, Walking S...",asian,₹799
145,Casual Sneakers Colour Blocked Shoes For Boys And Men S...,Robbie jones,₹449
146,Running Shoes For Men,BERSACHE,₹882
147,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
148,Premium Style Comfortable Casual Shoes For Women Slip O...,BIRDE,₹319
149,Sneakers For Women,Deals4you,₹399
150,PATRIK PRO Running Shoes For Men,CAMPUS,₹989
151,"Bersache Sports Shoes For Men|Red For Running,Walking,g...",BERSACHE,₹649
152,CozySock Walking Shoes For Women,Kraasa,₹319
153,SL-209 Running Shoes For Women,Sparx,₹949
154,"Sneaker Casual Shoes For Men | Soft Cushion Insole, Sli...",RED TAPE,"₹1,079"
155,DYNAMIC RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,320"
156,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
157,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
158,Fit-Man Slip On Sneakers For Men,BRUTON,₹149
159,SM-678 Running Shoes For Men,Sparx,"₹1,242"
160,"LightWeight Durable Sports,outdoor,walking,Running ,gym...",Hambler,₹297
161,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
162,Casuals For Women,CAMPUS,₹789
163,ACTIVE RUN Sneakers For Men,HRX by Hrithik Roshan,₹868
164,Raze Badminton Shoes For Men,Hundred,"₹1,499"
165,CLUB CULTURE Casuals For Men,HRX by Hrithik Roshan,"₹1,047"
166,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
167,MIKE (N) Running Shoes For Men,CAMPUS,"₹1,159"
168,"Waterproof-17 Grey Sports,Walking,Gym,Training,Stylish ...",asian,₹759
169,"Thar-01 Grey Sports,Training,Gym,Walking,Stylish Runnin...",asian,₹859
170,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
171,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹326
172,MIKE (N) Running Shoes For Men,CAMPUS,"₹1,159"
173,Carnival-02 Mens High Top Casual Chunky Sneakers Sneake...,asian,₹999
174,NORTH PLUS Running Shoes For Men,CAMPUS,"₹1,274"
175,Club Culture Sneakers For Men,HRX by Hrithik Roshan,"₹1,268"
176,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
177,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
178,CozySock 2.0 Walking Shoes For Women,Kraasa,₹319
179,BARLEY Running Shoes For Men,CAMPUS,₹839
180,"Bersache Sports Shoes For Men|Light Grey For Running,Wa...",BERSACHE,"₹1,109"
181,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
182,CriHase 23 Cricket Shoes For Men,ADIDAS,"₹2,119"
183,"Stylish Comfortable Lightweight, Breathable Black Runni...",BIRDE,₹327
184,HIGH TORQUE M Running Shoes For Men,REEBOK,"₹1,849"
185,"Nexon-03 White Gym,Sports,Casual,Walking,Stylish Runnin...",asian,₹699
186,Running Shoes For Men,BERSACHE,₹882
187,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
188,Stylish casual partywear women heeled boots Boots For W...,FLEXIFEET,₹499
189,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
190,PATRIK PRO Running Shoes For Men,CAMPUS,₹989
191,"Bersache Sports Shoes For Men|Red For Running,Walking,g...",BERSACHE,₹649
192,Running Shoes Running Shoes For Men,BRUTON,₹149
193,"ZOOM SPORTFOAM spandex knitted upper lace up,lightweigh...",JQR,₹979
194,SM-646 Walking Shoes For Men,Sparx,₹539
195,RUMBLE Running Shoes For Men,CAMPUS,"₹1,159"
196,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
197,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
198,Asian Plasma-08 sports shoes for men | Latest Stylish C...,asian,₹599
199,CAD Running Shoes For Men,CAMPUS,₹889
